,baseFare
162966,310.7
142284,124.65
110754,217.67
181673,115.35
39909,161.86
175887,245.58
211202,115.35
81007,271.63
111538,124.65
44069,208.37
178142,124.65
152903,87.44
132893,199.07
142926,310.7
187656,124.65
126697,310.7
10795,217.67
192630,115.35
80432,199.07
140187,217.67
78778,180.47
119935,124.65
896,115.35
154686,129.3
13834,152.56
219858,236.28
219430,143.26
273047,385.12
274228,264.19
176224,124.65
274047,124.65
285678,199.07
286651,132.09
9855,217.67
67401,236.28
32251,124.65
99788,152.56
173236,124.65
8240,106.05
118221,217.67
107815,152.56
26173,292.09
260272,124.65
144971,171.16
13806,217.67
180864,171.16
232986,124.65
20499,180.47
89794,180.47
60244,271.63
127172,310.7
37428,245.58
143202,217.67
90088,217.68
163416,217.67
91748,217.68
188254,236.28
105134,273.49
22869,166.51
54680,180.47
18954,208.38
257521,217.67
237088,124.65
247027,124.65
136399,124.65
139662,171.16
162738,92.09
179395,124.65
116260,152.56
142123,124.65
133310,152.56
284144,310.7
30655,166.51
120292,199.07
119890,217.67
23847,292.09
1557,143.26
115481,217.67
212550,115.35
55825,124.65
226465,133.95
51552,271.63
269822,124.65
21223,82.79
114298,152.56
138873,124.65
11100,189.76
289068,264.19
150359,217.67
147947,87.44
78047,124.65
170580,171.16
81805,271.63
171382,245.58
288682,124.65
15215,282.79
210532,171.16
280448,264.19
120720,124.65
99904,152.56
124046,152.56
93076,273.49
19537,271.63
283527,310.7
68574,310.69
113274,124.65
187111,171.16
92715,273.49
102706,180.47
168272,217.67
84124,273.49
201267,115.35
158331,92.09
10655,152.56
255033,310.7
226602,310.7
230082,310.7
158772,124.65
206699,171.16
23754,385.12
26701,152.55
85205,264.18
223786,310.7
275169,468.84
212072,217.67
1275,217.67
37935,292.09
176042,124.65
264014,171.16
171979,217.67
187881,124.65
284926,199.07
33767,385.12
83322,152.56
50272,338.6
239915,171.16
179098,217.67
137539,217.67
179234,245.58
133111,152.56
146571,217.67
25224,199.07
126393,87.44
55290,450.24
128179,124.65
229377,124.65
182939,124.65
259071,385.12
64828,236.28
252244,347.91
181454,124.65
169945,310.7
67425,240.93
251198,310.7
136093,217.67
8293,357.21
203118,115.35
60806,208.37
112292,124.65
102688,385.11
33384,82.79
119663,152.56
157372,310.7
177451,217.67
67175,245.58
41410,180.47
204460,171.16
67819,217.68
62986,171.16
24435,180.47
67801,245.58
153777,222.33
231396,124.65
105389,152.56
214853,115.35
79243,180.47
75755,282.79
8360,143.26
168735,124.65
91486,152.56
256410,161.86
194012,199.07
95798,124.65
35246,329.3
27561,271.63
145375,171.16
36134,115.35
238661,124.65
12039,143.26
6723,143.26
96178,180.47
